Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027869	Polyadenylate-binding protein RBP47B'	[source:homolog]
Zm00001d027870	Dehydration-responsive element-binding protein 2F	[source:homolog]
Zm00001d027871	 adss1;adenylosuccinate synthetase:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027872	transferases;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferases	[source:homolog]
Zm00001d027874	 nfya1;nuclear transcription factor y subunit a1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027875	Mitochondrial substrate carrier family protein	[source:homolog]
Zm00001d027876	Omega-amidase chloroplastic	[source:homolog]
Zm00001d027878	AP2-EREBP-type transcription factor  	 [source: RefGen_v3] 
Zm00001d027879	Os03g0176600 protein	[source:homolog]
Zm00001d027880	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain	[source:homolog]
Zm00001d027883	Putative membrane lipoprotein	[source:homolog]
Zm00001d027884	Copper-transporting ATPase PAA2 chloroplastic	[source:homolog]
Zm00001d027885	YGGT family protein  	 [source: RefGen_v3] 
Zm00001d027886	 ct2;compact plant2: semi-dwarf plant, 1/3 height; shortened internodes; club tassel, fasciated ear	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027887	Catalytic/ hydrolase  	 [source: RefGen_v3] 
Zm00001d027888	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d027889	ATP10 protein expressed	[source:homolog]
Zm00001d027890	Germin-like protein subfamily 1 member 1	[source:homolog]
Zm00001d027892	root-specific kinase 1	[source:homolog]
Zm00001d027893	 lox9;lipoxygenase9:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027894	DUF1677 family protein	[source:homolog]
Zm00001d027895	CTC-interacting domain 7	[source:homolog]
Zm00001d027896	Proteasome subunit alpha type  	 [source: RefGen_v3] 
Zm00001d027898	UDP-glycosyltransferase TURAN	[source:homolog]
Zm00001d027899	ZIM motif family protein  	 [source: RefGen_v3] 
Zm00001d027900	Protein TIFY 10B	[source:homolog]
Zm00001d027901	ZIM motif family protein  	 [source: RefGen_v3] 
Zm00001d027903	Ubiquitin carboxyl-terminal hydrolase family protein	[source:homolog]
Zm00001d027904	3-ketoacyl-CoA synthase  	 [source: RefGen_v3] 
Zm00001d027907	DUF936 family protein	[source:homolog]
Zm00001d027908	Probable flavin-containing monooxygenase 1	[source:homolog]
Zm00001d027911	Transcription factor ILR3	[source:homolog]
Zm00001d027912	RNA-metabolising metallo-beta-lactamase family protein	[source:homolog]
Zm00001d027914	Proton pump-interactor 1	[source:homolog]
Zm00001d027915	Topless-related protein 2	[source:homolog]
Zm00001d027916	Phosphoinositide phosphatase SAC2	[source:homolog]
Zm00001d027919	40S ribosomal protein Sa-1	[source:homolog]
Zm00001d027921	Protein DETOXIFICATION 12	[source:homolog]
Zm00001d027922	Eukaryotic translation initiation factor 3 subunit K	[source:homolog]
Zm00001d027925	Ethylene-responsive transcription factor RAP2-3	[source:homolog]
Zm00001d027927	WAPL (Wings apart-like protein regulation of heterochromatin) protein	[source:homolog]
Zm00001d027934	 ltk1;leucine-rich transmembrane protein kinase1: endosperm cDNA, multiple copy; one copy is near pds1	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027936	15-cis-phytoene desaturase chloroplastic/chromoplastic	[source:homolog]
Zm00001d027937	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d027938	UDP-glucuronate:xylan alpha-glucuronosyltransferase 2	[source:homolog]
Zm00001d027939	B3 domain-containing protein 	[source:homolog]
Zm00001d027941	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d027943	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d027944	Expressed protein;  protein	[source:homolog]
Zm00001d027946	 hct1;hydroxycinnamoyltransferase1: up-regulated in the Rp1-D21 mutant lines; colocalized with the SNP associated with Rp1-D21-induced HR	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027947	Tyrosine decarboxylase 1	[source:homolog]
Zm00001d027948	 hct2;hydroxycinnamoyltransferase2: up-regulated in the Rp1-D21 mutant lines; colocalized with the SNP associated with Rp1-D21-induced HR	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027949	Tyrosine/DOPA decarboxylase 2  	 [source: RefGen_v3] 
Zm00001d027950	Uroporphyrinogen-III synthase chloroplastic	[source:homolog]
Zm00001d027954	Expressed protein;  protein	[source:homolog]
Zm00001d027955	MADS-box transcription factor 47	[source:homolog]
Zm00001d027956	Expressed protein;  protein	[source:homolog]
Zm00001d027957	 mads68;MADS-transcription factor 68: Ortholog of rice MADS47; regulates zein gene transcription by interacting with o2 (Qiao et al., 2016)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d027962	Vacuolar protein-sorting-associated protein 37 homolog 1	[source:homolog]
Zm00001d027963	Intron maturase type II family protein	[source:homolog]
Zm00001d027965	Aspartyl protease AED3	[source:homolog]
Zm00001d027966	Protein CutA chloroplastic	[source:homolog]
Zm00001d027967	EMB514	[source:homolog]
Zm00001d027968	Glucuronoxylan 4-O-methyltransferase 2	[source:homolog]
Zm00001d027969	dentin sialophosphoprotein-related	[source:homolog]
Zm00001d027971	transducin family protein / WD-40 repeat family protein	[source:homolog]
Zm00001d027974	Cullin-associated NEDD8-dissociated protein 1	[source:homolog]
Zm00001d027975	F-box protein FBX14	[source:homolog]
Zm00001d027976	GLABRA2 expression modulator	[source:homolog]
Zm00001d027978	Purine permease 3	[source:homolog]
Zm00001d027979	Purine permease 3	[source:homolog]
Zm00001d027982	Protein DETOXIFICATION 27	[source:homolog]
Zm00001d027983	E3 ubiquitin-protein ligase ATL6	[source:homolog]
Zm00001d027987	Transcription factor bHLH99	[source:homolog]
Zm00001d027989	zinc finger (C3HC4-type RING finger) family protein	[source:homolog]
Zm00001d027991	HB-type transcription factor  	 [source: RefGen_v3] 
Zm00001d027993	Zinc finger CCCH domain-containing protein 46	[source:homolog]
Zm00001d027994	Myosin heavy chain-related protein	[source:homolog]
Zm00001d027995	Alcohol dehydrogenase-like 2	[source:homolog]
Zm00001d027996	Alcohol dehydrogenase-like 2	[source:homolog]
Zm00001d027997	UDP-glycosyltransferase 71B1	[source:homolog]
Zm00001d027998	VQ motif-containing protein 9	[source:homolog]
Zm00001d027999	2-carboxy-14-naphthoquinone phytyltransferase chloroplastic	[source:homolog]
Zm00001d028002	Ras-related protein RABA4a	[source:homolog]
Zm00001d028003	 ras11E1;ras-related protein11E1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028004	Outer arm dynein light chain 1 protein	[source:homolog]
Zm00001d028005	Ubiquitin carboxyl-terminal hydrolase  	 [source: RefGen_v3] 
Zm00001d028006	BEST Arabidopsis thaliana protein match is: Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein (TAIR:AT5G51150.1); Has 323 Blast hits to 315 proteins in 124 species: Archae - 0; Bacteria - 0; Metazoa - 95; Fungi /.../; Plants - 73; Viruses - 0; Other Eukaryotes - 45 (source: NCBI BLink).	[source:homolog]
Zm00001d028007	Calmodulin-binding transcription activator 2	[source:homolog]
Zm00001d028008	Probable mitochondrial adenine nucleotide transporter BTL2	[source:homolog]
Zm00001d028009	Probable mitochondrial adenine nucleotide transporter BTL2	[source:homolog]
Zm00001d028010	conserved oligomeric Golgi complex component-related / COG complex component-related	[source:homolog]
Zm00001d028011	WW domain containing protein expressed	[source:homolog]
Zm00001d028012	Ras-related protein Rab-6A  	 [source: RefGen_v3] 
Zm00001d028013	Putative pumilio homolog 7 chloroplastic	[source:homolog]
Zm00001d028015	hydroxyproline-rich glycoprotein family protein	[source:homolog]
Zm00001d028016	Calcium-dependent protein kinase 7	[source:homolog]
Zm00001d028017	Ethylene-responsive transcription factor ERF055	[source:homolog]
Zm00001d028018	Polymerase/histidinol phosphatase-like	[source:homolog]
Zm00001d028019	Serine carboxypeptidase-like 40	[source:homolog]
Zm00001d028020	RING/U-box superfamily protein	[source:homolog]
Zm00001d028022	nucleotidyltransferases	[source:homolog]
Zm00001d028024	Nodulin-related protein 1	[source:homolog]
Zm00001d028026	Ethylene response sensor 1	[source:homolog]
Zm00001d028034	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d028036	Myosin heavy chain	[source:homolog]
Zm00001d028038	Methionine--tRNA ligase chloroplastic/mitochondrial	[source:homolog]
Zm00001d028039	Probable protein S-acyltransferase 22	[source:homolog]
Zm00001d028040	Got1/Sft2-like vescicle transport protein family	[source:homolog]
Zm00001d028043	MFP1 attachment factor 1  	 [source: RefGen_v3] 
Zm00001d028045	Mannose-1-phosphate guanylyltransferase 1	[source:homolog]
Zm00001d028046	Putative pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028050	Retinoblastoma-binding protein-like  	 [source: RefGen_v3] 
Zm00001d028051	ARM-repeat/Tetratricopeptide repeat (TPR)-like protein	[source:homolog]
Zm00001d028053	Mitochondrial ribosomal protein L43  	 [source: RefGen_v3] 
Zm00001d028054	Syntaxin/t-SNARE family protein	[source:homolog]
Zm00001d028055	Probable E3 ubiquitin-protein ligase RHY1A	[source:homolog]
Zm00001d028056	BTB/POZ domain-containing protein 	[source:homolog]
Zm00001d028061	Replication protein A 14 kDa subunit B	[source:homolog]
Zm00001d028062	CASP-like protein 5A2	[source:homolog]
Zm00001d028071	Augmenter of liver regeneration  	 [source: RefGen_v3] 
Zm00001d028073	Protein SNOWY COTYLEDON 3	[source:homolog]
Zm00001d028074	HLS1  	 [source: RefGen_v3] 
Zm00001d028075	BTB/POZ domain-containing protein NPY2	[source:homolog]
Zm00001d028076	hAT transposon superfamily protein	[source:homolog]
Zm00001d028080	Tetratricopeptide repeat-like superfamily protein	[source:homolog]
Zm00001d028084	DNA repair protein UVH3	[source:homolog]
Zm00001d028085	Transcription factor bHLH54	[source:homolog]
Zm00001d028088	Ubiquitin system component Cue protein	[source:homolog]
Zm00001d028089	Formin-like protein 6	[source:homolog]
Zm00001d028091	14-3-3-like protein GF14 omega	[source:homolog]
Zm00001d028092	Cyclin-D5-1	[source:homolog]
Zm00001d028093	Calcium-transporting ATPase 2 plasma membrane-type	[source:homolog]
Zm00001d028094	Sigma factor sigB regulation protein rsbQ  	 [source: RefGen_v3] 
Zm00001d028096	CONTAINS InterPro DOMAIN/s: Nucleolar 27S pre-rRNA processing Urb2/Npa2 (InterPro:IPR018849); Has 58 Blast hits to 49 proteins in 21 species: Archae - 0; Bacteria - 2; Metazoa - 2; Fungi - 0; Plants - 44; Viruses - 3; Other Eukaryotes - 7 (source:  /.../Link).	[source:homolog]
Zm00001d028097	cyclin-related	[source:homolog]
Zm00001d028098	Radical SAM superfamily protein	[source:homolog]
Zm00001d028102	Outer mitochondrial membrane protein porin  	 [source: RefGen_v3] 
Zm00001d028103	Glycosyl hydrolase family 10 protein	[source:homolog]
Zm00001d028104	Elongator complex protein 5	[source:homolog]
Zm00001d028105	DHBP synthase RibB-like alpha/beta domain	[source:homolog]
Zm00001d028107	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028108	Protein disulfide isomerase-like 1-2	[source:homolog]
Zm00001d028109	Peptidyl-prolyl cis-trans isomerase CYP65	[source:homolog]
Zm00001d028110	Uncharacterised conserved protein (UCP012943)	[source:homolog]
Zm00001d028111	Arabinanase/levansucrase/invertase	[source:homolog]
Zm00001d028112	ADP-ribosylation factor-like protein 8B  	 [source: RefGen_v3] 
Zm00001d028113	SURF1  	 [source: RefGen_v3] 
Zm00001d028114	 mmp135; : similar to Arabidopsis no pollen germination related 1	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028117	40S ribosomal protein S3a-2	[source:homolog]
Zm00001d028118	Expressed protein;  protein	[source:homolog]
Zm00001d028120	Heptahelical transmembrane protein 5	[source:homolog]
Zm00001d028125	UPF0496 protein At3g28300	[source:homolog]
Zm00001d028128	 dng1;DNA glycosylase superfamily protein1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028129	 gt1;grassy tillers1: numerous basal branches; vegetatively totipotent in combination with id1 and factors for perennialismputative transcription factor that reduces branching, and is induced by shade	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028130	DeSI-like protein 	[source:homolog]
Zm00001d028137	40S ribosomal protein S23-2	[source:homolog]
Zm00001d028138	thiamine monophosphate synthase	[source:homolog]
Zm00001d028139	 bnlg1953; : similar to Arabidopsis C2H2-like zinc finger protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028140	Noc2p family	[source:homolog]
Zm00001d028141	RNA binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d028142	Regulator of Vps4 activity in the MVB pathway protein	[source:homolog]
Zm00001d028143	COP9 signalosome complex subunit 4	[source:homolog]
Zm00001d028144	Putative polyol transporter 1	[source:homolog]
Zm00001d028151	Putative polyol transporter 1	[source:homolog]
Zm00001d028152	Undecaprenyl pyrophosphate synthetase family protein	[source:homolog]
Zm00001d028153	30S ribosomal protein S10 chloroplastic	[source:homolog]
Zm00001d028154	 sat2;serine acetyltransferase2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028156	hAT transposon superfamily protein	[source:homolog]
Zm00001d028159	F-box protein GID2  	 [source: RefGen_v3] 
Zm00001d028160	CASP-like protein 2B2	[source:homolog]
Zm00001d028162	 sfp1;sulfate permease1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028164	Sulfate transporter 2.2	[source:homolog]
Zm00001d028165	Aminotransferase ALD1	[source:homolog]
Zm00001d028167	Cytochrome b561 and DOMON domain-containing protein 	[source:homolog]
Zm00001d028169	Plant mobile domain protein family	[source:homolog]
Zm00001d028170	Dopamine beta-monooxygenase  	 [source: RefGen_v3] 
Zm00001d028171	Calcium-dependent lipid-binding (CaLB domain) family protein	[source:homolog]
Zm00001d028173	FRIGIDA-like protein 1	[source:homolog]
Zm00001d028175	Pumilio domain-containing protein	[source:homolog]
Zm00001d028177	Ubiquitin carboxyl-terminal hydrolase 26	[source:homolog]
Zm00001d028178	NAC domain-containing protein 8	[source:homolog]
Zm00001d028180	 lpa1;low phytic acid1: decreased phytic acid in grain with corresponding increases in inorganic phosphate	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028181	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A	[source:homolog]
Zm00001d028182	Protein UPSTREAM OF FLC	[source:homolog]
Zm00001d028183	T-complex protein 1 subunit gamma  	 [source: RefGen_v3] 
Zm00001d028185	 rem6.3;remorin6.3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028186	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028187	Heparanase-like protein 1	[source:homolog]
Zm00001d028188	Probable galacturonosyltransferase 13	[source:homolog]
Zm00001d028189	Leucine-rich repeat (LRR) family protein	[source:homolog]
Zm00001d028191	LAP4 protein  	 [source: RefGen_v3] 
Zm00001d028193	AT-rich interactive domain-containing protein 2	[source:homolog]
Zm00001d028194	Probable mitochondrial-processing peptidase subunit beta mitochondrial	[source:homolog]
Zm00001d028195	TPX2 (targeting protein for Xklp2) protein family	[source:homolog]
Zm00001d028197	SNAP25 homologous protein SNAP33	[source:homolog]
Zm00001d028199	Beta-glucosidase 40	[source:homolog]
Zm00001d028200	Protein trichome birefringence-like 16	[source:homolog]
Zm00001d028201	SecY protein transport family protein	[source:homolog]
Zm00001d028202	60S ribosomal protein L36a	[source:homolog]
Zm00001d028203	BEST Arabidopsis thaliana protein match is: dentin sialophosphoprotein-related (TAIR:AT5G07980.1); Has 1906 Blast hits to 1127 proteins in 203 species: Archae - 2; Bacteria - 210; Metazoa - 401; Fungi - 205; Plants - 136; Viruses - 0; Other Eukaryot /.../52 (source: NCBI BLink).	[source:homolog]
Zm00001d028204	Expressed protein;  protein	[source:homolog]
Zm00001d028205	Mitochondrial substrate carrier family protein	[source:homolog]
Zm00001d028207	ATP synthase subunit gamma mitochondrial	[source:homolog]
Zm00001d028208	Protein RIK  	 [source: RefGen_v3] 
Zm00001d028210	Replication protein A 70 kDa DNA-binding subunit B	[source:homolog]
Zm00001d028211	Digalactosyldiacylglycerol synthase 2 chloroplastic	[source:homolog]
Zm00001d028213	histone-lysine N-methyltransferases	[source:homolog]
Zm00001d028214	GDP-mannose transporter GONST3	[source:homolog]
Zm00001d028216	 ifa1;indeterminate floral apex1: mutants have perturbed floral and inflorescence meristems as well as droopy leaves with increased angle	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028217	 zmm14;Zea mays MADS14: during spikelet development zmm4 probably works as a selector gene which is involved in distinguishing the upper and lower floret	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028218	Methionine--tRNA ligase cytoplasmic	[source:homolog]
Zm00001d028219	ATMAP70-2  	 [source: RefGen_v3] 
Zm00001d028220	Pyridoxal-5'-phosphate-dependent enzyme family protein	[source:homolog]
Zm00001d028221	 atp4;ATP synthase4: Chloroplast PPR-SMR protein. Activates atpB translation. Binds atpB 5'UTR. (A. Barkan, 2015)required for normal accumulation of the chloroplast ATP synthase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028222	Zinc finger protein 8	[source:homolog]
Zm00001d028226	BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant protein group 2 (TAIR:AT3G24600.1); Has 161 Blast hits to 158 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 161; Viruses - 0; Other Eukaryo /.../0 (source: NCBI BLink).	[source:homolog]
Zm00001d028227	Probable glucan 13-alpha-glucosidase	[source:homolog]
Zm00001d028228	 mate3;multidrug and toxic compound extrusion3: Sorghum ortholog: Sb01g042740	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028229	myosin-related	[source:homolog]
Zm00001d028230	Sugar transport protein 13	[source:homolog]
Zm00001d028231	Sec14p-like phosphatidylinositol transfer family protein	[source:homolog]
Zm00001d028232	Superoxide dismutase [Cu-Zn]  	 [source: RefGen_v3] 
Zm00001d028235	Beta-hexosaminidase 2	[source:homolog]
Zm00001d028238	CCAAT-binding factor	[source:homolog]
Zm00001d028240	50S ribosomal protein L15 chloroplastic	[source:homolog]
Zm00001d028241	3-ketoacyl-CoA synthase  	 [source: RefGen_v3] 
Zm00001d028243	Glucan endo-13-beta-glucosidase 3	[source:homolog]
Zm00001d028244	Outer arm dynein light chain 1 protein	[source:homolog]
Zm00001d028245	receptor-like protein kinase 4	[source:homolog]
Zm00001d028248	MA3 domain-containing protein	[source:homolog]
Zm00001d028249	Probable peroxygenase 4	[source:homolog]
Zm00001d028250	RNI-like superfamily protein	[source:homolog]
Zm00001d028252	Caleosin  	 [source: RefGen_v3] 
Zm00001d028254	Putative E3 ubiquitin-protein ligase XBAT31	[source:homolog]
Zm00001d028256	Molecular chaperone Hsp40/DnaJ family protein	[source:homolog]
Zm00001d028258	cytochrome P450 family 94 subfamily D polypeptide 2	[source:homolog]
Zm00001d028260	 gln6;glutamine synthetase6: cytosolic GS1-1 isoform, gene specific cDNA probe, 6-member nuclear gene family	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028261	Protein VAC14 homolog	[source:homolog]
Zm00001d028262	Nuclear pore complex protein NUP155	[source:homolog]
Zm00001d028263	Putative pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d028264	UDP-3-O-acyl N-acetylglycosamine deacetylase family protein	[source:homolog]
Zm00001d028265	Response regulator 8%3B Two-component response regulator ARR1  	 [source: RefGen_v3] 
Zm00001d028266	Major facilitator superfamily protein	[source:homolog]
Zm00001d028267	 trps2;trehalose-6-phosphate synthase2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028268	TSL-kinase interacting protein 1	[source:homolog]
Zm00001d028271	Type II inositol polyphosphate 5-phosphatase 15	[source:homolog]
Zm00001d028272	Sec-independent protein translocase protein TATC%2C chloroplastic  	 [source: RefGen_v3] 
Zm00001d028273	Mitogen-activated protein kinase kinase 9	[source:homolog]
Zm00001d028274	Cyclin-SDS	[source:homolog]
Zm00001d028275	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028276	Carboxyl-terminal-processing peptidase 1 chloroplastic	[source:homolog]
Zm00001d028277	hAT transposon superfamily protein	[source:homolog]
Zm00001d028278	cytochrome P450 family 94 subfamily D polypeptide 2	[source:homolog]
Zm00001d028279	CONTAINS InterPro DOMAIN/s: Conserved oligomeric complex COG6 (InterPro:IPR010490); Has 384 Blast hits to 379 proteins in 190 species: Archae - 0; Bacteria - 4; Metazoa - 151; Fungi - 156; Plants - 42; Viruses - 0; Other Eukaryotes - 31 (source: NCB /.../k).	[source:homolog]
Zm00001d028280	Wall-associated receptor kinase-like 14	[source:homolog]
Zm00001d028282	Cytochrome P450 CYP74A19  	 [source: RefGen_v3] 
Zm00001d028284	Ternary complex factor MIP1  	 [source: RefGen_v3] 
Zm00001d028285	Probable E3 ubiquitin-protein ligase ARI2	[source:homolog]
Zm00001d028286	Protein LYK2	[source:homolog]
Zm00001d028287	Calcium uniporter protein 4 mitochondrial	[source:homolog]
Zm00001d028288	Leucine-rich repeat extensin-like protein 6	[source:homolog]
Zm00001d028293	Heptahelical transmembrane protein 5	[source:homolog]
Zm00001d028294	Ubiquitin-protein ligase  	 [source: RefGen_v3] 
Zm00001d028295	Protein LOW PSII ACCUMULATION 3 chloroplastic	[source:homolog]
Zm00001d028296	F-box protein SKIP22	[source:homolog]
Zm00001d028297	 bhlh3;bHLH-transcription factor 3: Locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) , which also provided the mappings to the B73_Reference Genome sequence v2 gene models.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028298	short hypocotyl in white light1	[source:homolog]
Zm00001d028299	Squalene epoxidase 1	[source:homolog]
Zm00001d028303	Branched-chain-amino-acid aminotransferase  	 [source: RefGen_v3] 
Zm00001d028304	Homeobox-leucine zipper protein HAT3	[source:homolog]
Zm00001d028305	Condensin-2 complex subunit H2	[source:homolog]
Zm00001d028307	Probable inactive poly [ADP-ribose] polymerase SRO1	[source:homolog]
Zm00001d028309	Maf-like protein	[source:homolog]
Zm00001d028311	Antiporter/ drug transporter/ transporter  	 [source: RefGen_v3] 
Zm00001d028312	Transcription factor bHLH18	[source:homolog]
Zm00001d028313	PnFL-2%3B Putative tify domain/CCT motif transcription factor family protein  	 [source: RefGen_v3] 
Zm00001d028314	Transcription factor bHLH18	[source:homolog]
Zm00001d028315	Transcription factor bHLH18	[source:homolog]
Zm00001d028317	Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM3	[source:homolog]
Zm00001d028318	Ubiquitin carboxyl-terminal hydrolase 27	[source:homolog]
Zm00001d028319	Probable receptor-like serine/threonine-protein kinase 	[source:homolog]
Zm00001d028323	fringe-related protein	[source:homolog]
Zm00001d028325	 brs1;brassinosteroid synthesis1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028330	Sodium/hydrogen exchanger 2	[source:homolog]
Zm00001d028331	Glucan endo-13-beta-glucosidase 7	[source:homolog]
Zm00001d028332	Coatomer subunit gamma	[source:homolog]
Zm00001d028337	Proline-rich receptor-like protein kinase PERK4	[source:homolog]
Zm00001d028339	Whole genome shotgun sequence of line PN40024 scaffold_7.assembly12x (Fragment)	[source:homolog]
Zm00001d028344	Putative metal tolerance protein C3	[source:homolog]
Zm00001d028347	Peroxidase 53	[source:homolog]
Zm00001d028348	Peroxidase 53	[source:homolog]
Zm00001d028349	Peroxidase 59	[source:homolog]
Zm00001d028352	LisH and RanBPM domains containing protein	[source:homolog]
Zm00001d028354	Protein NRT1/ PTR FAMILY 8.3	[source:homolog]
Zm00001d028355	Protein NRT1/ PTR FAMILY 8.3	[source:homolog]
Zm00001d028358	Anaphase-promoting complex subunit 6	[source:homolog]
Zm00001d028359	Transmembrane 9 superfamily protein member 1  	 [source: RefGen_v3] 
Zm00001d028360	NAD(P)-linked oxidoreductase superfamily protein	[source:homolog]
Zm00001d028361	Protein SHOOT GRAVITROPISM 5	[source:homolog]
Zm00001d028363	65-kDa microtubule-associated protein 6	[source:homolog]
Zm00001d028365	Cyclin-J18	[source:homolog]
Zm00001d028366	Type IV inositol polyphosphate 5-phosphatase 9	[source:homolog]
Zm00001d028367	Purple acid phosphatase 3	[source:homolog]
Zm00001d028368	Purple acid phosphatase 1  	 [source: RefGen_v3] 
Zm00001d028369	hydroxyproline-rich glycoprotein family protein	[source:homolog]
Zm00001d028370	Protein OBERON 3	[source:homolog]
Zm00001d028371	Zinc finger protein 1	[source:homolog]
Zm00001d028372	bZIP transcription factor 16	[source:homolog]
Zm00001d028373	 toc35;translocon of outer membrane of chloroplast35:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028374	U-box domain-containing protein 21	[source:homolog]
Zm00001d028375	B-cell receptor-associated 31-like	[source:homolog]
Zm00001d028377	Small nuclear ribonucleoprotein Sm D3  	 [source: RefGen_v3] 
Zm00001d028378	S-formylglutathione hydrolase	[source:homolog]
Zm00001d028379	NADPH--cytochrome P450 reductase 2	[source:homolog]
Zm00001d028380	TSL-kinase interacting protein 1	[source:homolog]
Zm00001d028382	Ras-related protein RABG3a	[source:homolog]
Zm00001d028384	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	[source:homolog]
Zm00001d028386	Protein kinase superfamily protein	[source:homolog]
Zm00001d028388	Putative pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028390	F-box protein At-B	[source:homolog]
Zm00001d028391	Subtilisin-like protease SBT1.6	[source:homolog]
Zm00001d028392	 adf5;actin depolymerizing factor5:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028393	UDP-N-acetylglucosamine diphosphorylase 2	[source:homolog]
Zm00001d028394	Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase mitochondrial	[source:homolog]
Zm00001d028395	Fructose-bisphosphate aldolase 3 chloroplastic	[source:homolog]
Zm00001d028396	26S proteasome non-ATPase regulatory subunit 4 homolog	[source:homolog]
Zm00001d028397	Acyl-CoA-binding domain-containing protein 3	[source:homolog]
Zm00001d028398	Glycosyl hydrolase family 10 protein	[source:homolog]
Zm00001d028399	Thaumatin-like protein 1  	 [source: RefGen_v3] 
Zm00001d028400	Pathogenesis-related thaumatin superfamily protein	[source:homolog]
Zm00001d028401	 si606065d12; :	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028402	Gamma-glutamyl hydrolase 1	[source:homolog]
Zm00001d028404	Chaperone protein dnaJ 11 chloroplastic	[source:homolog]
Zm00001d028405	Proline-rich protein 2	[source:homolog]
Zm00001d028406	3-ketoacyl-CoA synthase 1	[source:homolog]
Zm00001d028408	 hsp26;heat shock protein26: was umc195; cDNA, single mRNA species induced by heat shock, in vitro HSP26 imported by isolated chloroplasts, cross-reacts with anti-pea-chloroplast-HSP21 antibodies	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028409	Chaperonin 60 subunit beta 4 chloroplastic	[source:homolog]
Zm00001d028410	Glucan endo-13-beta-glucosidase 10	[source:homolog]
Zm00001d028412	Filament-like plant protein 4	[source:homolog]
Zm00001d028413	LOB domain-containing protein 31	[source:homolog]
Zm00001d028414	ATP-dependent Clp protease ATP-binding subunit CLPT1 chloroplastic	[source:homolog]
Zm00001d028416	ACR8  	 [source: RefGen_v3] 
Zm00001d028417	Autophagy protein 9  	 [source: RefGen_v3] 
Zm00001d028419	cytochrome P450 family 76 subfamily C polypeptide 7	[source:homolog]
Zm00001d028422	Pentatricopeptide repeat-containing protein  chloroplastic	[source:homolog]
Zm00001d028423	IRK-interacting protein	[source:homolog]
